OTU	Size	Taxonomy
Otu0107	85	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia;Flavobacteria_bacterium_PG2S01;
Otu0108	83	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwelliaceae_unclassified;Colwelliaceae_unclassified;
Otu0109	81	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu0110	81	Bacteria;Proteobacteria;Alphaproteobacteria;OCS116_clade;uncultured_alpha_proteobacterium;uncultured_alpha_proteobacterium_unclassified;uncultured_alpha_proteobacterium_unclassified;
Otu0111	80	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacteriaceae_unclassified;Flavobacteriaceae_unclassified;
Otu0112	78	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria;Ruegeria_unclassified;
Otu0113	78	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca;Paraperlucidibaca_baekdonensis;
Otu0114	78	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116_clade;SAR116_clade_unclassified;SAR116_clade_unclassified;
Otu0115	78	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea;unknown_marine_alpha_proteobacterium_JP66_1;
Otu0116	78	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0117	72	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116_clade;uncultured_bacterium;uncultured_bacterium_unclassified;
Otu0118	71	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116_clade;SAR116_clade_unclassified;SAR116_clade_unclassified;
Otu0119	71	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;
Otu0120	71	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0121	70	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aquimarina;Flavobacteriaceae_bacterium_A6;
Otu0122	70	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0123	70	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0124	69	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwelliaceae_unclassified;Colwelliaceae_unclassified;
Otu0125	68	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified;Rhodospirillaceae_unclassified;
Otu0126	68	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassomonas;Thalassomonas_ganghwensis;
Otu0127	66	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius;Pelagibius_litoralis;
Otu0128	66	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacteriaceae_unclassified;Flavobacteriaceae_unclassified;
Otu0129	66	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira_unclassified;
Otu0130	65	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified;Rhodospirillaceae_unclassified;
Otu0131	64	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255_marine_benthic_group;JTB255_marine_benthic_group_unclassified;JTB255_marine_benthic_group_unclassified;
Otu0132	63	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324_clade(Marine_group_B);SAR324_clade(Marine_group_B)_unclassified;SAR324_clade(Marine_group_B)_unclassified;SAR324_clade(Marine_group_B)_unclassified;
Otu0133	62	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;
Otu0134	61	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0135	60	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0136	60	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified;Rhodospirillaceae_unclassified;
